customer_id,month,storage_used_tb
20,9,5.74
20,10,6.54
20,11,6.72
20,12,7.6
21,1,0.37
21,2,0.58
21,3,1.12
21,4,1.69
21,5,2.06
21,6,2.98
21,7,3.3
21,8,3.69
21,9,4.22
21,10,4.44
21,11,5.06
21,12,5.42
22,1,0.81
22,2,1.35
22,3,1.93
22,4,2.44
22,5,2.98
22,6,3.21
22,7,3.82
22,8,4.37
22,9,5.03
22,10,5.2
22,11,5.82
22,12,6.25
23,1,0.9
23,2,1.52
23,3,1.7
23,4,2.06
23,5,2.37
23,6,2.98
23,7,3.76
23,8,4.47
23,9,4.73
23,10,5.66
23,11,6.61
23,12,7.5
24,1,0.12
24,2,0.88
24,3,1.11
24,4,1.95
24,5,2.18
24,6,2.32
24,7,2.95
24,8,3.39
24,9,3.58
24,10,4.48
24,11,5.25
24,12,5.72
25,1,0.59
25,2,0.94
25,3,1.09
25,4,1.67
25,5,2.47
25,6,2.97
25,7,3.45
25,8,4.14
25,9,4.71
25,10,5.18
25,11,5.88
25,12,6.79
26,1,0.65
26,2,1.14
26,3,1.4
26,4,2.34
26,5,2.55
26,6,3.41
26,7,3.77
26,8,4.54
26,9,5.07
26,10,5.87
26,11,6.45
26,12,6.62
27,1,0.93
27,2,1.63
27,3,2.52
27,4,2.67
27,5,3.4
27,6,3.96
27,7,4.89
27,8,5.29
27,9,5.91
27,10,6.17
27,11,6.31
27,12,6.71
28,1,0.2
28,2,0.66
28,3,0.9
28,4,1.73
28,5,2.62
28,6,3.0
28,7,3.23
28,8,4.03
28,9,4.57
28,10,4.69
28,11,4.82
28,12,5.46
29,1,0.46
29,2,0.58
29,3,1.0
29,4,1.47
29,5,1.59
29,6,2.42
29,7,2.97
29,8,3.63
29,9,4.24
29,10,4.63
29,11,5.61
29,12,6.13
30,1,0.9
30,2,1.8
30,3,2.01
30,4,2.15
30,5,2.5
30,6,2.78
30,7,2.9
30,8,3.46
30,9,3.94
30,10,4.52
30,11,5.0
30,12,5.92
31,1,0.44
31,2,0.68
31,3,1.54
31,4,2.1
31,5,2.42
31,6,2.62
31,7,2.92
31,8,3.18
31,9,3.77
31,10,3.91
31,11,4.16
31,12,5.07
32,1,0.15
32,2,0.67
32,3,1.19
32,4,1.31
32,5,1.62
32,6,1.9
32,7,2.48
32,8,2.75
32,9,3.55
32,10,4.41
32,11,4.89
32,12,5.4
33,1,0.69
33,2,1.44
33,3,2.26
33,4,2.69
33,5,3.57
33,6,4.46
33,7,5.38
33,8,6.25
33,9,6.81
33,10,7.06
33,11,8.03
33,12,8.87
34,1,0.33
34,2,0.76
34,3,1.13
34,4,1.53
34,5,1.87
34,6,2.68
34,7,3.05
34,8,3.95
34,9,4.67
34,10,5.34
34,11,5.88
34,12,6.11
35,1,0.37
35,2,0.77
35,3,1.14
35,4,1.88
35,5,2.55
35,6,3.2
35,7,3.93
35,8,4.2
35,9,4.5
35,10,4.84
35,11,4.95
35,12,5.84
36,1,0.14
36,2,0.82
36,3,1.72
36,4,2.12
36,5,2.9
36,6,3.44
36,7,3.85
36,8,4.4
36,9,4.81
36,10,5.21
36,11,6.05
36,12,6.53
37,1,0.63
37,2,1.04
37,3,1.88
37,4,2.56
37,5,3.3
37,6,3.92
37,7,4.54
37,8,5.18
37,9,6.13
37,10,6.8
37,11,7.57
37,12,8.35
38,1,0.49
38,2,0.76
38,3,1.04
38,4,1.29
38,5,2.26
38,6,2.9
38,7,3.18
38,8,3.74
38,9,4.49
38,10,5.34
38,11,5.73
38,12,6.51
39,1,0.4
39,2,1.07
39,3,1.92
39,4,2.8
39,5,2.91
39,6,3.47
39,7,3.9
39,8,4.48
39,9,4.84
39,10,5.37
39,11,6.18
39,12,6.88
40,1,0.87
40,2,1.1
40,3,1.72
40,4,1.87
40,5,2.73
40,6,3.66
40,7,4.41
40,8,4.86
40,9,5.03
40,10,5.29
40,11,5.71
40,12,6.63
41,1,0.19
41,2,0.66
41,3,1.32
41,4,1.45
41,5,2.19
41,6,2.33
41,7,2.82
41,8,3.71
41,9,4.63
41,10,4.97
41,11,5.07
41,12,5.89
42,1,0.79
42,2,1.59
42,3,2.26
42,4,2.92
42,5,3.1
42,6,3.23
42,7,3.96
42,8,4.7
42,9,5.48
42,10,6.33
42,11,6.82
42,12,7.13
43,1,0.83
43,2,1.57
43,3,2.04
43,4,2.29
43,5,2.71
43,6,3.01
43,7,3.77
43,8,4.62
43,9,5.41
43,10,6.26
43,11,6.64
43,12,6.83
44,1,0.96
44,2,1.17
44,3,2.14
44,4,2.96
44,5,3.39
44,6,4.18
44,7,5.1
44,8,5.34
44,9,6.32
44,10,7.2
44,11,7.86
44,12,8.0
45,1,0.22
45,2,0.82
45,3,1.35
45,4,2.07
45,5,2.92
45,6,3.09
45,7,3.39
45,8,3.52
45,9,3.66
45,10,3.88
45,11,4.4
45,12,5.15
46,1,0.11
46,2,0.8
46,3,1.41
46,4,1.84
46,5,2.5
46,6,3.46
46,7,4.02
46,8,4.34
46,9,4.56
46,10,4.86
46,11,5.03
46,12,5.62
47,1,0.69
47,2,1.41
47,3,1.65
47,4,2.13
47,5,2.38
47,6,3.04
47,7,3.65
47,8,4.52
47,9,5.24
47,10,5.6
47,11,6.03
47,12,6.34
48,1,0.88
48,2,1.22
48,3,1.57
48,4,2.08
48,5,2.7
48,6,2.96
48,7,3.62
48,8,4.09
48,9,4.88
48,10,5.69
48,11,6.53
48,12,7.17
49,1,0.85
49,2,1.08
49,3,1.48
49,4,2.31
49,5,3.14
49,6,3.94
49,7,4.69
49,8,5.2
49,9,5.99
49,10,6.8
49,11,7.66
49,12,7.93
50,1,0.75
50,2,0.86
50,3,1.15
50,4,1.79
50,5,2.38
50,6,2.79
50,7,3.39
50,8,4.29
50,9,5.12
50,10,5.82
50,11,6.38
50,12,6.73
51,1,0.29
51,2,0.98
51,3,1.88
51,4,2.15
51,5,3.11
51,6,3.76
51,7,3.87
51,8,4.5
51,9,4.8
51,10,4.91
51,11,5.49
51,12,6.28
52,1,0.8
52,2,1.09
52,3,1.27
52,4,1.47
52,5,1.83
52,6,2.36
52,7,2.78
52,8,3.38
52,9,3.95
52,10,4.44
52,11,4.6
52,12,5.06
53,1,0.29
53,2,0.83
53,3,1.58
53,4,2.5
53,5,2.81
53,6,2.96
53,7,3.24
53,8,4.15
53,9,5.07
53,10,5.73
53,11,6.24
53,12,6.64
54,1,0.41
54,2,1.2
54,3,1.43
54,4,1.73
54,5,1.96
54,6,2.61
54,7,3.2
54,8,4.11
54,9,4.28
54,10,5.21
54,11,5.88
54,12,6.49
55,1,0.39
55,2,0.94
55,3,1.79
55,4,1.91
55,5,2.21
55,6,3.03
55,7,3.26
55,8,3.78
55,9,4.15
55,10,4.44
55,11,4.84
55,12,5.06
56,1,0.37
56,2,1.18
56,3,2.0
56,4,2.28
56,5,3.18
56,6,3.91
56,7,4.69
56,8,5.26
56,9,5.51
56,10,5.8
56,11,6.65
56,12,6.93
57,1,0.29
57,2,0.53
57,3,0.74
57,4,0.89
57,5,1.52
57,6,1.83
57,7,2.7
57,8,3.22
57,9,3.93
57,10,4.05
57,11,4.48
57,12,4.88
58,1,0.38
58,2,0.64
58,3,1.06
58,4,1.97
58,5,2.21
58,6,2.95
58,7,3.26
58,8,3.38
58,9,3.57
58,10,3.98
58,11,4.32
58,12,4.89
59,1,0.12
59,2,0.5
59,3,1.2
59,4,1.38
59,5,1.68
59,6,2.23
59,7,2.96
59,8,3.47
59,9,4.0
59,10,4.78
59,11,5.11
59,12,5.71
60,1,0.61
60,2,0.94
60,3,1.28
60,4,2.25
60,5,2.82
60,6,3.75
60,7,4.41
60,8,5.3
60,9,6.16
60,10,6.89
60,11,7.72
60,12,7.94
61,1,0.77
61,2,1.22
61,3,2.09
61,4,2.83
61,5,3.78
61,6,3.96
61,7,4.25
61,8,4.57
61,9,4.84
61,10,5.57
61,11,6.08
61,12,6.33
62,1,0.77
62,2,1.15
62,3,1.91
62,4,2.67
62,5,3.11
62,6,3.47
62,7,4.05
62,8,4.94
62,9,5.13
62,10,6.0
62,11,6.41
62,12,7.37
63,1,0.68
63,2,1.65
63,3,1.8
63,4,2.29
63,5,2.61
63,6,2.83
63,7,3.59
63,8,4.25
63,9,5.22
63,10,5.48
63,11,6.32
63,12,6.78
64,1,0.22
64,2,0.87
64,3,1.59
64,4,2.25
64,5,2.44
64,6,2.54
64,7,3.3
64,8,4.21
64,9,4.98
64,10,5.47
64,11,5.85
64,12,6.34
65,1,0.43
65,2,0.83
65,3,1.71
65,4,2.38
65,5,3.01
65,6,3.98
65,7,4.09
65,8,4.57
65,9,4.83
65,10,5.13
65,11,5.96
65,12,6.76
66,1,0.46
66,2,1.3
66,3,1.58
66,4,2.34
66,5,2.64
66,6,2.84
66,7,3.02
66,8,3.47
66,9,3.61
66,10,3.76
66,11,4.62
66,12,5.25
67,1,0.39
67,2,0.67
67,3,0.78
67,4,1.03
67,5,1.79
67,6,2.36
67,7,3.24
67,8,3.53
67,9,3.84
67,10,3.98
67,11,4.43
67,12,5.13
68,1,0.93
68,2,1.46
68,3,1.98
68,4,2.68
68,5,3.3
68,6,3.75
68,7,4.28
68,8,4.66
68,9,4.89
68,10,5.33
68,11,5.89
68,12,6.25
69,1,0.24
69,2,1.07
69,3,1.69
69,4,2.5
69,5,3.28
69,6,3.92
69,7,4.69
69,8,5.39
69,9,5.67
69,10,6.57
69,11,7.2
69,12,8.07
70,1,0.44
70,2,0.96
70,3,1.75
70,4,2.67
70,5,3.09
70,6,3.73
70,7,4.54
70,8,4.93
70,9,5.37
70,10,6.17
70,11,6.92
70,12,7.28
71,1,0.72
71,2,1.18
71,3,2.01
71,4,2.51
71,5,2.68
71,6,3.23
71,7,3.86
71,8,4.53
71,9,4.76
71,10,5.22
71,11,5.74
71,12,5.91
72,1,0.48
72,2,1.09
72,3,1.55
72,4,2.03
72,5,2.29
72,6,2.51
72,7,3.23
72,8,3.89
72,9,4.56
72,10,5.46
72,11,6.43
72,12,7.04
73,1,0.81
73,2,1.17
73,3,1.7
73,4,2.44
73,5,2.56
73,6,2.9
73,7,3.2
73,8,3.49
73,9,4.44
73,10,5.18
73,11,5.61
73,12,6.4
74,1,0.5
74,2,0.69
74,3,1.17
74,4,1.67
74,5,1.9
74,6,2.71
74,7,3.02
74,8,3.48
74,9,4.37
74,10,5.13
74,11,5.43
74,12,5.56
75,1,0.51
75,2,1.07
75,3,2.0
75,4,2.28
75,5,2.57
75,6,3.35
75,7,4.08
75,8,4.69
75,9,4.86
75,10,5.39
75,11,6.15
75,12,6.84
76,1,0.42
76,2,0.88
76,3,1.53
76,4,1.69
76,5,2.23
76,6,2.73
76,7,3.62
76,8,3.8
76,9,4.24
76,10,4.67
76,11,5.62
76,12,6.22
77,1,0.52
77,2,0.81
77,3,1.56
77,4,1.76
77,5,1.9
77,6,2.74
77,7,3.53
77,8,4.19
77,9,4.7
77,10,5.06
77,11,5.84
77,12,6.3
78,1,0.4
78,2,1.37
78,3,1.5
78,4,1.86
78,5,2.5
78,6,2.82
78,7,3.59
78,8,4.35
78,9,4.97
78,10,5.58
78,11,6.43
78,12,6.88
79,1,0.97
79,2,1.82
79,3,2.0
79,4,2.85
79,5,3.71
79,6,4.6
79,7,5.32
79,8,5.95
79,9,6.08
79,10,6.57
79,11,7.45
79,12,7.66
80,1,0.44
80,2,1.41
80,3,1.85
80,4,2.51
80,5,3.39
80,6,4.13
80,7,4.66
80,8,5.48
80,9,5.78
80,10,6.21
80,11,6.51
80,12,6.93
81,1,0.52
81,2,0.97
81,3,1.08
81,4,1.88
81,5,2.3
81,6,2.41
81,7,2.51
81,8,3.1
81,9,3.3
81,10,3.57
81,11,4.11
81,12,4.9
82,1,0.6
82,2,0.79
82,3,1.29
82,4,2.19
82,5,2.99
82,6,3.65
82,7,3.75
82,8,4.72
82,9,5.38
82,10,6.0
82,11,6.96
82,12,7.49
83,1,0.66
83,2,1.27
83,3,1.81
83,4,2.54
83,5,3.24
83,6,3.45
83,7,4.0
83,8,4.42
83,9,5.14
83,10,5.6
83,11,5.93
83,12,6.81
84,1,0.58
84,2,0.68
84,3,1.56
84,4,2.15
84,5,2.38
84,6,3.27
84,7,3.53
84,8,3.89
84,9,4.73
84,10,5.21
84,11,6.16
84,12,6.62
85,1,0.18
85,2,0.89
85,3,1.3
85,4,1.78
85,5,2.24
85,6,2.5
85,7,2.95
85,8,3.9
85,9,4.72
85,10,5.08
85,11,5.37
85,12,6.18
86,1,0.27
86,2,1.03
86,3,1.29
86,4,2.25
86,5,2.94
86,6,3.5
86,7,3.62
86,8,4.22
86,9,4.42
86,10,5.2
86,11,6.08
86,12,6.25
87,1,0.45
87,2,0.78
87,3,1.36
87,4,1.85
87,5,2.81
87,6,3.17
87,7,3.66
87,8,4.49
87,9,5.09
87,10,6.02
87,11,6.96
87,12,7.65
88,1,0.7
88,2,1.57
88,3,1.69
88,4,2.5
88,5,2.88
88,6,3.39
88,7,3.53
88,8,4.17
88,9,4.65
88,10,5.49
88,11,5.93
88,12,6.32
89,1,0.22
89,2,1.16
89,3,1.66
89,4,2.28
89,5,2.59
89,6,3.11
89,7,3.64
89,8,4.48
89,9,4.65
89,10,5.12
89,11,5.7
89,12,6.22
90,1,0.87
90,2,1.07
90,3,2.0
90,4,2.12
90,5,2.29
90,6,2.78
90,7,3.29
90,8,3.74
90,9,4.67
90,10,4.8
90,11,5.06
90,12,5.17
91,1,0.67
91,2,0.98
91,3,1.7
91,4,2.07
91,5,2.28
91,6,2.83
91,7,3.04
91,8,3.44
91,9,3.7
91,10,3.82
91,11,4.19
91,12,4.44
92,1,0.33
92,2,0.72
92,3,1.44
92,4,1.7
92,5,2.34
92,6,2.57
92,7,3.45
92,8,3.56
92,9,3.98
92,10,4.95
92,11,5.62
92,12,5.74
93,1,0.32
93,2,0.49
93,3,0.75
93,4,1.54
93,5,1.93
93,6,2.33
93,7,2.72
93,8,3.09
93,9,3.58
93,10,4.02
93,11,4.49
93,12,5.12
94,1,0.29
94,2,0.66
94,3,1.28
94,4,1.66
94,5,2.49
94,6,3.16
94,7,3.42
94,8,3.64
94,9,4.56
94,10,5.37
94,11,5.79
94,12,6.74
95,1,0.23
95,2,1.18
95,3,1.86
95,4,2.13
95,5,3.02
95,6,3.37
95,7,3.64
95,8,3.74
95,9,3.93
95,10,4.23
95,11,4.49
95,12,5.03
96,1,0.42
96,2,0.98
96,3,1.63
96,4,2.12
96,5,2.75
96,6,3.36
96,7,4.33
96,8,4.79
96,9,5.4
96,10,6.15
96,11,6.34
96,12,6.94
97,1,0.29
97,2,1.13
97,3,1.29
97,4,1.62
97,5,2.22
97,6,2.76
97,7,3.43
97,8,3.73
97,9,4.19
97,10,4.66
97,11,5.6
97,12,5.75
98,1,0.94
98,2,1.66
98,3,2.55
98,4,3.06
98,5,3.43
98,6,4.35
98,7,4.61
98,8,4.8
98,9,5.46
98,10,5.96
98,11,6.81
98,12,7.45
99,1,0.13
99,2,0.4
99,3,1.08
99,4,1.83
99,5,2.22
99,6,2.95
99,7,3.5
99,8,4.33
99,9,4.72
99,10,5.46
99,11,5.78
99,12,6.04
100,1,0.83
100,2,1.33
100,3,2.26
100,4,2.56
100,5,3.31
100,6,3.82
100,7,4.58
100,8,5.12
100,9,5.42
100,10,5.97
100,11,6.83
100,12,7.15
101,1,0.18
101,2,0.86
101,3,1.67
101,4,1.92
101,5,2.81
101,6,3.59
101,7,4.06
101,8,4.76
101,9,5.68
101,10,6.56
101,11,7.21
101,12,7.42
102,1,0.1
102,2,0.43
102,3,0.65
102,4,0.93
102,5,1.15
102,6,1.26
102,7,2.14
102,8,2.85
102,9,3.55
102,10,4.51
102,11,4.93
102,12,5.35
103,1,0.71
103,2,1.42
103,3,2.34
103,4,2.67
103,5,3.19
103,6,3.35
103,7,3.65
103,8,4.5
103,9,5.38
103,10,5.54
103,11,5.89
103,12,6.55
104,1,0.45
104,2,0.82
104,3,1.71
104,4,2.0
104,5,2.71
104,6,2.88
104,7,3.53
104,8,3.73
104,9,4.6
104,10,4.76
104,11,5.67
104,12,6.53
105,1,0.25
105,2,0.55
105,3,0.75
105,4,1.36
105,5,1.96
105,6,2.19
105,7,3.15
105,8,3.96
105,9,4.67
105,10,5.64
105,11,6.15
105,12,6.29
106,1,0.39
106,2,1.11
106,3,1.83
106,4,1.96
106,5,2.35
106,6,2.79
106,7,3.75
106,8,3.96
106,9,4.45
106,10,4.98
106,11,5.31
106,12,5.75
107,1,0.83
107,2,1.36
107,3,1.75
107,4,1.95
107,5,2.92
107,6,3.17
107,7,3.44
107,8,4.16
107,9,5.06
107,10,5.92
107,11,6.84
107,12,7.64
108,1,0.83
108,2,1.74
108,3,2.64
108,4,3.22
108,5,3.89
108,6,4.49
108,7,4.7
108,8,5.25
108,9,5.38
108,10,5.61
108,11,5.78
108,12,6.07
109,1,0.87
109,2,0.99
109,3,1.68
109,4,2.47
109,5,2.6
109,6,3.27
109,7,3.82
109,8,4.77
109,9,5.31
109,10,5.95
109,11,6.22
109,12,6.67
110,1,0.54
110,2,0.8
110,3,1.14
110,4,1.35
110,5,1.95
110,6,2.77
110,7,3.41
110,8,4.1
110,9,5.07
110,10,5.64
110,11,6.04
110,12,6.61
111,1,0.54
111,2,1.27
111,3,1.47
111,4,2.36
111,5,2.49
111,6,3.42
111,7,3.94
111,8,4.41
111,9,5.36
111,10,6.08
111,11,6.65
111,12,7.14
112,1,0.47
112,2,1.34
112,3,2.07
112,4,3.02
112,5,3.77
112,6,3.99
112,7,4.83
112,8,5.8
112,9,6.71
112,10,7.34
112,11,8.23
112,12,9.14
113,1,0.79
113,2,1.02
113,3,1.23
113,4,1.36
113,5,2.18
113,6,2.95
113,7,3.23
113,8,3.68
113,9,3.87
113,10,4.31
113,11,4.75
113,12,5.47
114,1,0.7
114,2,1.34
114,3,2.1
114,4,2.38
114,5,2.54
114,6,3.52
114,7,4.34
114,8,4.97
114,9,5.63
114,10,6.33
114,11,6.88
114,12,6.99
115,1,0.25
115,2,0.53
115,3,1.18
115,4,1.56
115,5,1.82
115,6,2.31
115,7,2.76
115,8,3.47
115,9,3.88
115,10,4.83
115,11,4.96
115,12,5.5
116,1,0.38
116,2,0.95
116,3,1.83
116,4,2.46
116,5,3.31
116,6,4.24
116,7,5.17
116,8,5.94
116,9,6.8
116,10,7.23
116,11,7.38
116,12,7.69
117,1,0.79
117,2,1.3
117,3,1.86
117,4,2.81
117,5,3.41
117,6,3.76
117,7,4.42
117,8,5.0
117,9,5.88
117,10,6.65
117,11,7.49
117,12,7.94
118,1,0.23
118,2,0.66
118,3,1.43
118,4,1.56
118,5,2.21
118,6,2.83
118,7,2.97
118,8,3.67
118,9,3.88
118,10,4.84
118,11,5.4
118,12,6.04
119,1,0.26
119,2,0.36
119,3,1.14
119,4,1.64
119,5,1.91
119,6,2.48
119,7,3.36
119,8,4.23
119,9,4.62
119,10,4.73
119,11,5.68
119,12,5.98
120,1,0.28
120,2,0.71
120,3,1.61
120,4,2.1
120,5,2.5
120,6,3.1
120,7,3.7
120,8,4.11
120,9,4.68
120,10,4.87
120,11,5.65
120,12,6.57
121,1,0.71
121,2,1.32
121,3,1.51
121,4,1.81
121,5,2.23
121,6,3.14
121,7,3.36
121,8,3.77
121,9,4.54
121,10,5.08
121,11,5.41
121,12,6.07
122,1,0.96
122,2,1.08
122,3,1.84
122,4,2.31
122,5,2.83
122,6,3.09
122,7,3.27
122,8,3.96
122,9,4.16
122,10,4.91
122,11,5.68
122,12,6.58
123,1,0.36
123,2,0.7
123,3,1.36
123,4,1.91
123,5,2.32
123,6,2.55
123,7,2.91
123,8,3.36
123,9,3.52
123,10,4.22
123,11,4.38
123,12,5.21
124,1,0.18
124,2,0.28
124,3,0.47
124,4,1.35
124,5,1.87
124,6,2.48
124,7,3.23
124,8,3.53
124,9,4.46
124,10,5.11
124,11,5.5
124,12,5.68
125,1,0.36
125,2,1.3
125,3,1.74
125,4,2.23
125,5,3.09
125,6,3.34
125,7,3.71
125,8,4.02
125,9,4.27
125,10,4.96
125,11,5.32
125,12,5.67
126,1,0.91
126,2,1.1
126,3,1.26
126,4,1.85
126,5,2.78
126,6,3.73
126,7,4.7
126,8,5.57
126,9,5.85
126,10,6.53
126,11,6.9
126,12,7.35
127,1,0.34
127,2,0.76
127,3,0.88
127,4,1.12
127,5,1.23
127,6,1.54
127,7,2.44
127,8,3.0
127,9,3.48
127,10,4.34
127,11,4.82
127,12,5.3
128,1,0.43
128,2,0.88
128,3,1.52
128,4,2.33
128,5,2.86
128,6,3.55
128,7,3.99
128,8,4.26
128,9,5.24
128,10,5.37
128,11,5.71
128,12,6.47
129,1,0.45
129,2,1.29
129,3,1.56
129,4,2.43
129,5,3.32
129,6,3.99
129,7,4.09
129,8,4.65
129,9,5.58
129,10,6.39
129,11,6.55
129,12,6.92
130,1,0.2
130,2,0.75
130,3,1.62
130,4,1.77
130,5,2.42
130,6,2.66
130,7,3.37
130,8,3.67
130,9,4.31
130,10,4.64
130,11,5.09
130,12,5.66
131,1,0.3
131,2,0.67
131,3,1.37
131,4,1.81
131,5,2.05
131,6,2.82
131,7,3.37
131,8,3.92
131,9,4.17
131,10,4.39
131,11,4.72
131,12,4.99
132,1,0.46
132,2,1.06
132,3,1.9
132,4,2.64
132,5,3.59
132,6,4.28
132,7,4.97
132,8,5.5
132,9,6.43
132,10,6.75
132,11,6.99
132,12,7.84
133,1,0.62
133,2,1.34
133,3,1.97
133,4,2.64
133,5,2.96
133,6,3.17
133,7,4.11
133,8,5.02
133,9,5.18
133,10,5.63
133,11,6.27
133,12,6.62
134,1,0.12
134,2,0.56
134,3,1.37
134,4,1.6
134,5,2.09
134,6,3.0
134,7,3.12
134,8,3.54
134,9,4.26
134,10,4.9
134,11,5.58
134,12,5.83
135,1,0.17
135,2,1.02
135,3,1.5
135,4,2.11
135,5,2.38
135,6,3.33
135,7,3.98
135,8,4.53
135,9,5.29
135,10,5.53
135,11,5.92
135,12,6.84
136,1,0.26
136,2,1.12
136,3,1.36
136,4,1.99
136,5,2.32
136,6,2.81
136,7,3.17
136,8,3.52
136,9,3.88
136,10,4.22
136,11,4.57
136,12,5.27
137,1,0.46
137,2,0.89
137,3,1.36
137,4,2.22
137,5,2.37
137,6,2.82
137,7,3.14
137,8,4.01
137,9,4.13
137,10,4.37
137,11,4.87
137,12,5.31
138,1,0.44
138,2,1.14
138,3,2.08
138,4,2.5
138,5,3.22
138,6,3.39
138,7,3.67
138,8,4.39
138,9,5.15
138,10,5.43
138,11,5.78
138,12,6.21
139,1,0.79
139,2,1.42
139,3,1.72
139,4,2.23
139,5,2.75
139,6,3.54
139,7,3.91
139,8,4.66
139,9,5.54
139,10,5.79
139,11,6.34
139,12,7.12
140,1,0.16
140,2,1.0
140,3,1.69
140,4,2.35
140,5,3.12
140,6,4.07
140,7,4.26
140,8,5.02
140,9,5.56
140,10,6.04
140,11,6.23
140,12,6.57
141,1,0.73
141,2,1.36
141,3,2.2
141,4,2.7
141,5,3.33
141,6,3.96
141,7,4.31
141,8,5.28
141,9,6.11
141,10,6.28
141,11,6.65
141,12,7.49
142,1,0.46
142,2,1.04
142,3,1.29
142,4,1.79
142,5,2.24
142,6,2.42
142,7,2.53
142,8,3.43
142,9,4.02
142,10,4.53
142,11,5.49
142,12,5.71
143,1,0.79
143,2,1.71
143,3,2.25
143,4,2.59
143,5,2.75
143,6,3.18
143,7,3.41
143,8,3.92
143,9,4.84
143,10,5.28
143,11,6.18
143,12,6.82
144,1,0.65
144,2,1.41
144,3,2.2
144,4,2.77
144,5,3.23
144,6,3.61
144,7,4.53
144,8,4.65
144,9,4.97
144,10,5.38
144,11,5.6
144,12,5.72
145,1,0.52
145,2,0.99
145,3,1.75
145,4,2.25
145,5,2.78
145,6,2.97
145,7,3.9
145,8,4.33
145,9,4.55
145,10,4.66
145,11,5.41
145,12,6.1
146,1,0.27
146,2,0.48
146,3,1.45
146,4,1.89
146,5,2.67
146,6,3.36
