alert_id,customer_id,alert_type,severity,resolved
341,127,Unauthorized Access,Low,Yes
342,127,Ransomware,Medium,No
343,127,Unauthorized Access,Low,Yes
344,128,Unauthorized Access,Medium,No
345,128,Policy Violation,High,Yes
346,128,Ransomware,High,No
347,128,Ransomware,Medium,Yes
348,128,Unauthorized Access,High,Yes
349,129,Unauthorized Access,High,No
350,129,Malware,Medium,Yes
351,130,Unauthorized Access,Low,No
352,130,Unauthorized Access,Medium,No
353,130,Unauthorized Access,Medium,No
354,131,Ransomware,Low,No
355,132,Unauthorized Access,High,Yes
356,132,Malware,Low,No
357,132,Unauthorized Access,High,No
358,133,Policy Violation,Medium,Yes
359,133,Unauthorized Access,High,Yes
360,133,Malware,Low,Yes
361,134,Policy Violation,Medium,No
362,135,Malware,Low,No
363,135,Unauthorized Access,Low,No
364,135,Ransomware,Low,Yes
365,135,Policy Violation,High,No
366,136,Malware,Low,Yes
367,137,Policy Violation,Low,No
368,137,Unauthorized Access,High,No
369,137,Ransomware,High,No
370,137,Policy Violation,High,Yes
371,137,Ransomware,Low,No
372,138,Ransomware,Low,Yes
373,140,Ransomware,Medium,No
374,140,Malware,High,Yes
375,141,Malware,High,No
376,141,Malware,High,No
377,143,Unauthorized Access,Low,No
378,145,Malware,High,Yes
379,146,Malware,Low,Yes
380,146,Malware,High,No
381,146,Ransomware,Low,Yes
382,146,Policy Violation,High,Yes
383,146,Policy Violation,High,Yes
384,147,Malware,High,No
385,148,Policy Violation,Low,Yes
386,149,Malware,Medium,Yes
387,149,Policy Violation,Medium,No
388,150,Ransomware,Medium,No
389,150,Policy Violation,Low,Yes
390,150,Malware,High,No
391,152,Unauthorized Access,Medium,No
392,152,Malware,Medium,Yes
393,152,Policy Violation,Low,No
394,153,Malware,Medium,No
395,153,Ransomware,Medium,Yes
396,153,Malware,Low,No
397,153,Ransomware,Medium,No
398,154,Policy Violation,High,Yes
399,154,Policy Violation,High,No
400,155,Ransomware,High,Yes
401,155,Unauthorized Access,Medium,Yes
402,156,Policy Violation,High,Yes
403,158,Policy Violation,Low,Yes
404,158,Ransomware,Medium,No
405,158,Ransomware,Low,Yes
406,158,Unauthorized Access,Medium,No
407,158,Ransomware,Low,Yes
408,159,Malware,High,No
409,159,Policy Violation,High,No
410,160,Ransomware,High,Yes
411,160,Unauthorized Access,Medium,Yes
412,161,Policy Violation,Low,No
413,162,Ransomware,Low,Yes
414,162,Ransomware,Medium,Yes
415,162,Malware,Low,Yes
416,162,Policy Violation,Medium,No
417,163,Unauthorized Access,Low,No
418,163,Policy Violation,Medium,No
419,163,Policy Violation,Medium,No
420,163,Malware,High,No
421,164,Policy Violation,High,No
422,165,Malware,Medium,No
423,165,Ransomware,Low,No
424,165,Unauthorized Access,Medium,Yes
425,165,Policy Violation,Low,No
426,165,Unauthorized Access,Low,No
427,166,Policy Violation,Medium,No
428,166,Unauthorized Access,High,No
429,166,Policy Violation,High,Yes
430,166,Unauthorized Access,Medium,Yes
431,166,Unauthorized Access,Medium,Yes
432,167,Unauthorized Access,Medium,No
433,167,Ransomware,Medium,No
434,168,Ransomware,High,Yes
435,169,Unauthorized Access,High,Yes
436,169,Policy Violation,Medium,No
437,169,Policy Violation,Low,No
438,169,Ransomware,High,Yes
439,169,Unauthorized Access,Medium,No
440,170,Ransomware,High,Yes
441,170,Unauthorized Access,High,Yes
442,170,Malware,High,Yes
443,170,Malware,Low,Yes
444,171,Unauthorized Access,Medium,No
445,171,Malware,High,Yes
446,172,Unauthorized Access,Medium,Yes
447,172,Unauthorized Access,Medium,Yes
448,174,Policy Violation,High,Yes
449,174,Ransomware,Medium,Yes
450,174,Ransomware,Low,No
451,174,Ransomware,Medium,No
452,175,Unauthorized Access,High,Yes
453,175,Malware,High,No
454,175,Unauthorized Access,High,Yes
455,175,Malware,Low,No
456,177,Ransomware,Medium,No
457,177,Ransomware,Medium,No
458,177,Policy Violation,Medium,Yes
459,178,Policy Violation,High,Yes
460,179,Ransomware,Low,Yes
461,179,Malware,Low,Yes
462,179,Unauthorized Access,Medium,Yes
463,180,Policy Violation,High,Yes
464,180,Ransomware,High,Yes
465,180,Policy Violation,Low,Yes
466,181,Unauthorized Access,Medium,No
467,181,Policy Violation,Low,Yes
468,183,Policy Violation,Low,No
469,184,Ransomware,High,No
470,186,Policy Violation,Low,No
471,187,Ransomware,Medium,Yes
472,190,Policy Violation,Low,No
473,190,Policy Violation,High,Yes
474,190,Malware,High,No
475,190,Ransomware,Medium,No
476,191,Policy Violation,High,No
477,192,Policy Violation,High,No
478,192,Ransomware,Medium,No
479,193,Policy Violation,Low,No
480,193,Unauthorized Access,High,No
481,193,Unauthorized Access,Medium,No
482,194,Unauthorized Access,High,Yes
483,194,Policy Violation,Low,Yes
484,195,Unauthorized Access,High,No
485,195,Unauthorized Access,Medium,No
486,195,Unauthorized Access,Low,Yes
487,195,Unauthorized Access,Low,Yes
488,195,Unauthorized Access,High,No
489,196,Ransomware,Medium,No
490,196,Malware,Medium,No
491,196,Unauthorized Access,High,Yes
492,196,Malware,High,No
493,196,Ransomware,Low,Yes
494,198,Unauthorized Access,Low,No
495,198,Ransomware,Medium,Yes
496,198,Malware,High,Yes
497,198,Unauthorized Access,High,No
498,198,Policy Violation,Medium,Yes
499,199,Malware,Medium,Yes
500,199,Unauthorized Access,Low,No
501,199,Policy Violation,Medium,No
502,200,Ransomware,Medium,Yes
503,200,Policy Violation,High,Yes
504,200,Policy Violation,Low,Yes
505,200,Malware,Medium,Yes
506,200,Policy Violation,Low,No
507,201,Malware,Low,No
508,201,Ransomware,Medium,No
509,201,Malware,Medium,No
510,203,Unauthorized Access,Medium,Yes
511,204,Unauthorized Access,High,No
512,204,Malware,Low,No
513,204,Unauthorized Access,Medium,Yes
514,204,Unauthorized Access,High,Yes
515,204,Policy Violation,Low,No
516,205,Ransomware,Medium,Yes
517,205,Ransomware,Low,Yes
518,205,Policy Violation,Low,Yes
519,207,Malware,Low,No
520,207,Policy Violation,Low,No
521,209,Malware,High,No
522,209,Policy Violation,Low,No
523,209,Ransomware,Medium,Yes
524,209,Unauthorized Access,High,Yes
525,209,Ransomware,Low,Yes
526,212,Ransomware,Low,No
527,212,Unauthorized Access,Low,No
528,212,Malware,Low,No
529,212,Policy Violation,High,Yes
530,213,Unauthorized Access,High,No
531,213,Malware,Medium,Yes
532,213,Policy Violation,High,Yes
533,213,Ransomware,High,No
534,215,Unauthorized Access,High,Yes
535,216,Unauthorized Access,High,Yes
536,217,Unauthorized Access,Medium,Yes
537,218,Malware,Medium,No
538,218,Unauthorized Access,Medium,Yes
539,218,Malware,High,Yes
540,219,Malware,Low,Yes
541,219,Policy Violation,Low,Yes
542,219,Policy Violation,High,No
543,219,Malware,Medium,No
544,219,Policy Violation,Medium,No
545,220,Policy Violation,Low,Yes
546,220,Ransomware,High,No
547,220,Unauthorized Access,High,No
548,220,Unauthorized Access,Low,Yes
549,221,Policy Violation,Low,Yes
550,221,Malware,Medium,No
551,221,Malware,Medium,No
552,222,Unauthorized Access,Medium,No
553,222,Ransomware,Medium,Yes
554,222,Policy Violation,Medium,Yes
555,222,Ransomware,Low,Yes
556,223,Malware,High,Yes
557,223,Malware,Low,Yes
558,223,Ransomware,Medium,Yes
559,223,Ransomware,Medium,Yes
560,223,Ransomware,Medium,Yes
561,224,Unauthorized Access,Medium,No
562,224,Malware,Low,No
563,225,Policy Violation,Low,No
564,225,Ransomware,High,No
565,226,Malware,Low,No
566,226,Policy Violation,Low,Yes
567,226,Unauthorized Access,Low,No
568,226,Policy Violation,High,Yes
569,227,Policy Violation,High,No
570,227,Unauthorized Access,High,No
571,227,Unauthorized Access,Medium,No
572,227,Unauthorized Access,High,No
573,227,Ransomware,Medium,Yes
574,228,Ransomware,Medium,Yes
575,228,Ransomware,High,Yes
576,229,Malware,High,Yes
577,229,Malware,Low,Yes
578,229,Malware,Medium,No
579,229,Policy Violation,High,No
580,230,Malware,High,Yes
581,231,Malware,High,Yes
582,231,Unauthorized Access,Low,No
583,232,Malware,Low,Yes
584,232,Unauthorized Access,Low,Yes
585,232,Policy Violation,Low,No
586,232,Malware,Low,Yes
587,233,Ransomware,Low,No
588,233,Unauthorized Access,Medium,Yes
589,233,Ransomware,Low,Yes
590,233,Malware,Medium,Yes
591,233,Malware,Medium,Yes
592,234,Unauthorized Access,Low,No
593,234,Unauthorized Access,Low,Yes
594,235,Malware,High,No
595,235,Malware,Medium,Yes
596,236,Unauthorized Access,High,No
597,236,Malware,Low,No
598,236,Ransomware,High,No
599,236,Malware,Low,Yes
600,237,Policy Violation,Low,No
601,237,Ransomware,Medium,Yes
602,237,Malware,Low,No
603,237,Malware,Medium,Yes
604,237,Policy Violation,Low,Yes
605,238,Ransomware,Low,No
606,238,Policy Violation,High,Yes
607,238,Policy Violation,Low,No
608,239,Ransomware,Low,No
609,240,Unauthorized Access,Medium,No
610,240,Unauthorized Access,Medium,No
611,240,Ransomware,Low,No
612,240,Malware,High,No
613,240,Ransomware,Medium,Yes
614,241,Ransomware,High,No
615,241,Malware,Low,Yes
616,241,Ransomware,Low,No
617,241,Malware,High,No
618,242,Unauthorized Access,Medium,No
619,242,Unauthorized Access,Low,Yes
620,242,Ransomware,Low,Yes
621,242,Ransomware,Low,No
622,243,Malware,Medium,Yes
623,244,Unauthorized Access,Low,No
624,244,Ransomware,Low,No
625,245,Policy Violation,High,No
626,245,Ransomware,High,No
627,247,Unauthorized Access,Low,No
628,247,Ransomware,High,No
629,247,Malware,High,No
630,247,Ransomware,Low,Yes
631,248,Ransomware,High,No
632,248,Policy Violation,Medium,No
633,248,Ransomware,High,Yes
634,248,Unauthorized Access,Low,Yes
635,248,Policy Violation,Low,No
636,249,Malware,Low,Yes
637,250,Ransomware,Medium,No
638,250,Policy Violation,High,No
639,250,Ransomware,Medium,No
640,250,Ransomware,Low,No
641,251,Unauthorized Access,Medium,Yes
642,253,Policy Violation,Medium,Yes
643,253,Policy Violation,High,No
644,253,Ransomware,High,Yes
645,254,Unauthorized Access,Medium,Yes
646,255,Malware,High,No
647,255,Policy Violation,Low,No
648,255,Ransomware,Medium,No
649,255,Ransomware,High,No
650,255,Policy Violation,High,No
651,256,Unauthorized Access,Medium,Yes
652,256,Unauthorized Access,Low,Yes
653,257,Malware,High,Yes
654,258,Ransomware,High,No
655,261,Unauthorized Access,High,No
656,261,Malware,Medium,No
657,261,Ransomware,Medium,No
658,263,Policy Violation,Low,Yes
659,264,Ransomware,High,No
660,264,Policy Violation,High,No
661,265,Ransomware,Medium,Yes
662,266,Policy Violation,High,No
663,267,Unauthorized Access,High,Yes
664,268,Ransomware,High,No
665,268,Malware,Medium,No
666,268,Malware,High,Yes
667,268,Policy Violation,Low,Yes
668,269,Malware,Low,No
669,269,Malware,High,No
670,269,Ransomware,Medium,Yes
671,269,Malware,Low,Yes
672,270,Unauthorized Access,Low,Yes
673,272,Unauthorized Access,Low,Yes
674,272,Malware,Low,No
675,272,Malware,Low,Yes
676,273,Malware,High,No
677,274,Malware,Medium,No
678,274,Unauthorized Access,Low,Yes
679,274,Policy Violation,Medium,Yes
680,274,Ransomware,Low,Yes
681,277,Policy Violation,Low,Yes
682,277,Malware,Low,Yes
683,277,Malware,Medium,Yes
684,277,Unauthorized Access,Low,No
685,278,Malware,Low,No
686,279,Policy Violation,Medium,Yes
687,279,Policy Violation,Low,Yes
688,280,Malware,Medium,Yes
689,280,Ransomware,Medium,No
690,281,Unauthorized Access,Medium,No
691,281,Unauthorized Access,Low,No
692,282,Ransomware,High,No
693,282,Policy Violation,Medium,No
694,282,Ransomware,High,Yes
695,282,Malware,Medium,No
696,283,Ransomware,Medium,No
697,283,Malware,High,No
698,283,Unauthorized Access,High,Yes
699,283,Malware,Low,No
700,284,Policy Violation,Low,Yes
701,284,Policy Violation,Low,Yes
702,284,Policy Violation,Medium,Yes
703,286,Ransomware,High,Yes
704,286,Unauthorized Access,Low,Yes
705,286,Ransomware,Medium,No
706,287,Policy Violation,Medium,No
707,287,Unauthorized Access,Low,No
708,287,Unauthorized Access,Medium,Yes
709,288,Malware,High,No
710,288,Malware,Medium,Yes
711,288,Policy Violation,Medium,No
712,288,Malware,Medium,Yes
713,288,Malware,Medium,Yes
714,289,Policy Violation,Medium,No
715,289,Ransomware,Medium,Yes
716,289,Malware,High,Yes
717,289,Policy Violation,High,No
718,290,Unauthorized Access,Low,Yes
719,292,Policy Violation,High,Yes
720,293,Ransomware,Low,Yes
721,293,Malware,Medium,Yes
722,293,Unauthorized Access,Low,Yes
723,294,Ransomware,Medium,Yes
724,295,Ransomware,Medium,Yes
725,295,Policy Violation,High,Yes
726,295,Malware,Low,No
727,295,Unauthorized Access,Low,No
728,295,Ransomware,High,No
729,296,Policy Violation,Low,Yes
730,296,Unauthorized Access,High,No
731,296,Ransomware,High,No
732,297,Ransomware,High,Yes
733,297,Unauthorized Access,Low,Yes
734,297,Unauthorized Access,High,Yes
735,297,Policy Violation,High,Yes
736,298,Policy Violation,Low,Yes
737,298,Policy Violation,Low,Yes
738,300,Policy Violation,Medium,No
739,300,Unauthorized Access,Low,No
740,301,Unauthorized Access,Medium,Yes
741,301,Ransomware,Low,No
742,303,Ransomware,Low,Yes
743,303,Unauthorized Access,High,No
744,303,Malware,Low,No
745,303,Unauthorized Access,High,No
746,305,Malware,Medium,No
747,305,Malware,Medium,Yes
748,305,Malware,High,No
749,305,Unauthorized Access,Low,Yes
750,305,Ransomware,High,Yes
751,306,Ransomware,High,Yes
752,307,Ransomware,Medium,No
753,307,Ransomware,Low,Yes
754,307,Policy Violation,Medium,Yes
755,307,Policy Violation,High,No
756,308,Policy Violation,High,No
757,308,Policy Violation,Medium,No
758,308,Ransomware,Low,Yes
759,309,Policy Violation,Medium,No
760,309,Malware,Medium,Yes
761,309,Malware,Medium,No
762,309,Policy Violation,Medium,Yes
763,309,Policy Violation,Medium,Yes
764,310,Ransomware,Low,Yes
765,310,Ransomware,High,Yes
766,312,Malware,Medium,No
767,313,Malware,Medium,No
768,313,Unauthorized Access,Medium,Yes
769,313,Policy Violation,Medium,Yes
770,313,Policy Violation,Low,No
771,313,Ransomware,Low,Yes
772,315,Policy Violation,High,No
773,315,Unauthorized Access,Medium,No
774,317,Malware,Medium,No
775,317,Malware,Medium,No
776,317,Unauthorized Access,Low,Yes
777,317,Ransomware,Low,Yes
778,317,Policy Violation,Medium,Yes
779,318,Malware,Medium,Yes
780,319,Unauthorized Access,Medium,Yes
781,319,Unauthorized Access,Medium,Yes
782,319,Ransomware,High,No
783,319,Ransomware,Low,Yes
784,320,Ransomware,High,Yes
785,320,Unauthorized Access,Low,No
786,320,Policy Violation,Low,No
787,320,Malware,Low,No
788,320,Ransomware,Low,No
789,321,Malware,Low,Yes
790,321,Unauthorized Access,Low,No
791,321,Unauthorized Access,Low,Yes
792,321,Unauthorized Access,High,No
793,321,Malware,Medium,Yes
794,322,Malware,Low,No
795,324,Ransomware,Medium,No
796,324,Malware,Low,No
797,324,Unauthorized Access,High,No
798,324,Malware,High,Yes
799,324,Policy Violation,Low,Yes
800,325,Malware,Low,No
801,325,Policy Violation,Medium,Yes
802,325,Malware,High,No
803,326,Malware,Low,Yes
804,326,Policy Violation,Low,No
805,326,Malware,High,No
806,326,Unauthorized Access,Medium,No
807,327,Ransomware,High,Yes
808,328,Ransomware,Medium,Yes
809,330,Ransomware,Low,Yes
810,332,Ransomware,Medium,Yes
811,332,Malware,High,No
812,332,Policy Violation,Low,No
813,333,Ransomware,Medium,Yes
814,333,Ransomware,High,No
815,334,Ransomware,Low,Yes
816,334,Policy Violation,Low,No
817,334,Ransomware,High,Yes
818,334,Policy Violation,High,Yes
819,334,Ransomware,Medium,Yes
820,335,Malware,High,Yes
821,335,Ransomware,Medium,No
822,335,Ransomware,High,No
823,335,Policy Violation,Medium,No
824,336,Malware,Low,No
825,336,Policy Violation,Low,No
826,336,Malware,High,No
827,336,Malware,High,No
828,336,Malware,High,Yes
829,337,Malware,Low,No
830,337,Policy Violation,Medium,No
831,338,Policy Violation,High,No
832,339,Ransomware,Low,No
833,339,Malware,Low,No
834,340,Policy Violation,Medium,Yes
835,340,Ransomware,Medium,No
836,340,Unauthorized Access,Medium,No
837,342,Policy Violation,High,Yes
838,342,Unauthorized Access,Low,Yes
839,342,Unauthorized Access,Medium,Yes
840,342,Policy Violation,High,No
841,342,Ransomware,Medium,Yes
842,343,Malware,High,No
843,343,Policy Violation,High,No
844,344,Ransomware,Low,No
845,344,Malware,High,No
846,344,Unauthorized Access,Medium,Yes
847,345,Unauthorized Access,Medium,Yes
